Club|Last Name|First Name|Pos|Base Salary|Compensation|year
FC Dallas|Richards|Chris|D|90000|123750|2018
Vancouver Whitecaps|Richey|Spencer|GK|68254.2|68254.2|2018
Toronto FC|Ricketts|Tosaint|F|190008|203174.67|2018
Portland Timbers|Ridgewell|Liam|D|7e+05|7e+05|2018
Real Salt Lake|Rimando|Nick|GK|399999.96|422499.96|2018
New York City FC|Ring|Alexander|M|550000|591666.67|2018
New York Red Bulls|Rivas|Carlos|M|444996|444996|2018
FC Dallas|Roberts|Thomas|M|60000|88750|2018
LAFC|Roberts|Quillan|GK|67500|67500|2018
Atlanta United|Robinson|Miles|D|135000|205000|2018
DC United|Robinson|Jalen|D|75000|75000|2018
New York Red Bulls|Robles|Luis|GK|460000.08|460000.08|2018
Orlando City SC|Rocha|Tony|M|68901.84|68901.84|2018
Houston Dynamo|Rodriguez|Memo|M|55654.2|55654.2|2018
|Peterson|Jacob|F|173568|180818|2018
Montreal Impact|Petrasso|Michael|D-M|155003.64|168128.64|2018
Real Salt Lake|Phillips|Demar|D|120000|126250|2018
Montreal Impact|Piatti|Ignacio|M|500000.04|4713333.37|2018
Philadelphia Union|Picault|Fafa|F|135000|148666.67|2018
Montreal Impact|Piette|Samuel|M|120000|129234.37|2018
Orlando City SC|Pinho|Stefano|F|150000|183333.33|2018
Atlanta United|Pirez|Leandro|D|650004|685004|2018
Real Salt Lake|Plata|Joao|F|525000|683333.33|2018
New York Red Bulls|Politz|Kevin|D|54500.04|57105.51|2018
Portland Timbers|Polo|Andy|F|150000|150000|2018
Chicago Fire|Polster|Matt|M|109890|124890|2018
FC Dallas|Pomykal|Paxton|M|85000|90000|2018
LA Galaxy|Pontius|Chris|F-M|174999.96|174999.96|2018
Portland Timbers|Powell|Alvas|D|225000|241625|2018
Orlando City SC|Powers|Dillon|M|180000|180000|2018
Colorado Rapids|Price|Jack|M|399999.96|407499.96|2018
Philadelphia Union|Przybylko|Kacper|F|67500|67500|2018
Real Salt Lake|Putna|Andrew|GK|67500|67500|2018
San Jose Earthquakes|Qazaishvili|Valeri "Vako"|M|1325004|1454042.36|2018
San Jose Earthquakes|Quintana|Yeferson|D|3e+05|341250|2018
Minnesota United|Quintero|Darwin|F|1650000|1650000|2018
Houston Dynamo|Quioto|Romell|F|240000|252500|2018
San Jose Earthquakes|Qwiberg|Joel|D|129999.96|167999.96|2018
Montreal Impact|Raitala|Jukka|D|205004|241670.67|2018
Minnesota United|Omsberg|Wyatt|D|54500.04|54500.04|2018
Orlando City SC|O'Neill|Shane|D|64999.92|79499.92|2018
Real Salt Lake|Onuoha|Nedum|D|150000|219000|2018
Sporting Kansas City|Opara|Ike|D|324999.96|342916.63|2018
DC United|Opare|Kofi|D|118125|133125|2018
Columbus Crew|Opoku|Edward|F|75000|96000|2018
Toronto FC|Osorio|Jonathan|M|201350.63|209825.25|2018
DC United|Ousted|David|GK|350000.04|369166.71|2018
Minnesota United|Owundi Eko'o|Bertrand|D|67500|67500|2018
Minnesota United|Paixao Da Silva|Fernando "Bob"|M|152496|152496|2018
Minnesota United|Pangop|Frantz|M|67500|67500|2018
Montreal Impact|Pantemis|James|GK|54500.04|55000.04|2018
Portland Timbers|Paredes|Cristhian|M|252000|283500|2018
New York Red Bulls|Parker|Tim|D|97185|115935|2018
Atlanta United|Parkhurst|Michael|D|340008|340008|2018
San Jose Earthquakes|Partida|Kevin|M|54500.04|54500.04|2018
Toronto FC|Patterson-Sewell|Caleb|GK|67500|67500|2018
Real Salt Lake|Peay|Taylor|D|67500|67500|2018
LA Galaxy|Pedro|Joao|M|219996|240996|2018
FC Dallas|Pedroso|Marcos|D|330000|330000|2018
Houston Dynamo|Pena|Ronaldo|F|225000|225000|2018
New England Revolution|Penilla|Cristian|F|500000.04|550000.04|2018
Colorado Rapids|Perez|Ricardo|M|60000|61250|2018
LAFC|Perez|Josh|F|54499.92|54499.92|2018
Real Salt Lake|Mulholland|Luke|M|173250|173250|2018
Columbus Crew|Mullins|Patrick|F|249996|249996|2018
New York Red Bulls|Murillo|Michael|D|80004|88754|2018
LAFC|Murphy|James|M|67500|87500|2018
San Jose Earthquakes|Musovski|Danny|F|54500.04|54500.04|2018
Vancouver Whitecaps|Mutch|Jordon|M|156000|284166.67|2018
New York Red Bulls|Muyl|Alex|F|110000|114000|2018
|Myers|Chance|D|175008|175008|2018
Atlanta United|Nagbe|Darlington|F-M|605000|620000|2018
Philadelphia Union|Najem|Adam|M|71500.04|71500.04|2018
Seattle Sounders FC|Neagle|Lamar|F-M|96000|99000|2018
Houston Dynamo|Nelson|Michael|GK|54500.04|54500.04|2018
Sporting Kansas City|Nemeth|Krisztian|F|9e+05|1007666.67|2018
Vancouver Whitecaps|Nerwinski|Jakob|D|67500|71625|2018
LAFC|Nguyen|Lee|M|5e+05|5e+05|2018
Colorado Rapids|Nicholson|Sam|M|265008|311456|2018
Chicago Fire|Nikolic|Nemanja|F|1700000.04|1906333.37|2018
Vancouver Whitecaps|Norman|David|M|54500.04|55500.04|2018
Real Salt Lake|Obayan|Sunday|M|275000|288000|2018
San Jose Earthquakes|Ockford|Jimmy|D|67500|67500|2018
DC United|Odoi-Atsem|Chris|D|54500.04|59500.04|2018
San Jose Earthquakes|Oduro|Dom|F|330000|330000|2018
New York City FC|Ofori|Ebenezer|M|324999.96|381249.96|2018
Atlanta United|Okonkwo|Patrick|F|54504|65504|2018
Portland Timbers|Olum|Lawrence|M|185004|200004|2018
Sporting Kansas City|Melia|Tim|GK|3e+05|316666.67|2018
Vancouver Whitecaps|Melvin|Sean|GK|54500.04|54500.04|2018
Columbus Crew|Mensah|Jonathan|D|774996|868996|2018
Columbus Crew|Meram|Justin|M|550008|578758|2018
Seattle Sounders FC|Meredith|Bryan|GK|67500|67500|2018
Vancouver Whitecaps|Mezquida|Nicolas|F-M|130000.08|130000.08|2018
Chicago Fire|Mihailovic|Djordje|M|96000.04|96000.04|2018
LAFC|Miller|Tyler|GK|68915.07|68915.07|2018
Minnesota United|Miller|Eric|D|84997.97|105997.97|2018
Portland Timbers|Miller|Roy|D|150000|150000|2018
New York Red Bulls|Mines|Ben|M|54504|60518|2018
DC United|Miranda|Bruno|F|67500|71976.09|2018
New England Revolution|Mlinar Delamea|Antonio|D|400008|400008|2018
Minnesota United|Molino|Kevin|M|425004|477504|2018
Toronto FC|Moor|Drew|D|350004|350004|2018
DC United|Mora|Joseph|D|90000|104250|2018
New York City FC|Moralez|Maxi|M|2000000.04|2000000.04|2018
DC United|Moreno|Junior|M|120000|139500|2018
Toronto FC|Morgan|Ashtone|D|120000|121500|2018
Seattle Sounders FC|Morris|Jordan|F|222000|234500|2018
Toronto FC|Morrow|Justin|D|3e+05|3e+05|2018
FC Dallas|Mosquera|Santiago|M|450000|541400|2018
LAFC|Moutinho|Joao|D|129999.96|169999.96|2018
Chicago Fire|Movsisyan|Yura|F|1850000|2073750|2018
Orlando City SC|Mueller|Chris|F|84999.96|98749.96|2018
Houston Dynamo|Martinez|Tomas|M|305004|487929|2018
Vancouver Whitecaps|Martins|Felipe|M|425000.04|425000.04|2018
New York City FC|Matarrita|Ronald|D|275000.04|395000.04|2018
DC United|Mattocks|Darren|F|4e+05|416666.67|2018
Vancouver Whitecaps|Maund|Aaron|D|180000|189437.5|2018
FC Dallas|Maurer|Jimmy|GK|120000|122500|2018
Toronto FC|Mavinga|Chris|D|500000.04|563333.37|2018
Philadelphia Union|Mbaizo|Olivier|D|67500|67500|2018
Colorado Rapids|McBean|Jack|F|68906.25|68906.25|2018
Atlanta United|McCann|Chris|M|560000|588000|2018
Philadelphia Union|McCarthy|John|GK|95000|104250|2018
Chicago Fire|McCarty|Dax|M|700000.08|712500.08|2018
Seattle Sounders FC|McCrary|Jordan|D|67500|67500|2018
Philadelphia Union|McGuire|Jake|GK|55654.2|55654.2|2018
Portland Timbers|McIntosh|Kendall|GK|55650|55650|2018
Philadelphia Union|McKenzie|Mark|D|54500.04|64500.04|2018
Chicago Fire|McLain|Patrick|GK|67500|67500|2018
New York City FC|McNamara|Thomas|M|199999.92|199999.92|2018
New York Red Bulls|Meara|Ryan|GK|120000|125000|2018
New York City FC|Medina|Jesus|M|650000.04|770833.37|2018
Sporting Kansas City|Medranda|Jimmy|D|140004|140004|2018
Philadelphia Union|Medunjanin|Haris|M|500004|545004|2018
Montreal Impact|Meilleur-Giguere|Thomas|D|54500|57625|2018
Portland Timbers|Melano|Lucas|F|840000|840000|2018
New York Red Bulls|Louro|Evan|GK|55654.2|55654.2|2018
Montreal Impact|Lovitz|Daniel|M|86625|86625|2018
Columbus Crew|Lundgaard|Ben|GK|54500.04|54500.04|2018
Houston Dynamo|Lundkvist|Adam|D|405000|433750|2018
LAFC|Lyon|Charlie|GK|67500|67500|2018
Portland Timbers|Mabiala|Larrys|D|750000|793333.33|2018
Houston Dynamo|Machado|Adolfo|D|220008|236508|2018
New England Revolution|Machado|Cristhian|D-M|132000|150512.5|2018
Colorado Rapids|MacMath|Zac|GK|170000|170000|2018
|Malki|George|D|68254.2|68254.2|2018
LAFC|Mallace|Calum|M|80000.04|80000.04|2018
Columbus Crew|Maloney|Connor|D|55654.2|55654.2|2018
New England Revolution|Mancienne|Michael|D|1284768|1370268|2018
Montreal Impact|Mancosu|Matteo|F|700000.08|719541.75|2018
Minnesota United|Manley|Carter|D|54500.04|54500.04|2018
Houston Dynamo|Manotas|Mauro|F|264328.08|264328.08|2018
San Jose Earthquakes|Marcinkowski|JT|GK|120000|132000|2018
San Jose Earthquakes|Marie|Paul|D|54500.04|54500.04|2018
