Club|Last Name|First Name|Pos|Base Salary|Compensation|year
TOR|Giovinco|Sebastian|F|5600000|7115555.67|2017
ORL|Giro|Victor|D-M|80004|85316.5|2017
RSL|Glad|Justen|D|225000|246700|2017
POR|Gleeson|Jake|GK|110000|115166.67|2017
SJ|Godoy|Anibal|M|229992|256242|2017
NYCFC|Gomez|Shannon|D|54075|54075|2017
DAL|Gonzalez|Jesse|GK|85000.08|109000.08|2017
DAL|Gonzalez|Luis|M|65000.04|83125.04|2017
ATL|Gonzalez Pirez|Leandro|D|250008|285008|2017
CHI|Goossens|John|M|230000|233333.33|2017
COL|Gordon|Alan|F|180000|180000|2017
ATL|Goslin|Chris|M|70000|74000|2017
DAL|Grana|Hernan|D|200000.04|225500.04|2017
MNUFC|Greenspan|Joseph|D|65000|66469.08|2017
VAN|Greig|Kyle|F|65004|66849|2017
NYRB|Grella|Mike|F|186000|188250|2017
ATL|Gressel|Julian|M|75000|93750|2017
DAL|Gruezo|Carlos|M|495000|731500|2017
DAL|Guillen|Aaron|D|54075|54075|2017
ATL|Guzan|Brad|GK|340008|400008|2017
POR|Guzman|David|M|185004|188337.33|2017
TOR|Hagglund|Nick|D|100008|109633|2017
COL|Hairston|Marlon|D-M|110004|110004|2017
DC|Hamid|Bill|GK|350000|395500|2017
COL|Hamilton|Sam|M|65004|65004|2017
TOR|Hamilton|Jordan|F|69457.5|81957.5|2017
CLB|Hansen|Nikolaj|F|65000.04|72500.04|2017
DC|Harkes|Ian|M|90000|123237.5|2017
CHI|Harrington|Michael|D|135000|136666.67|2017
DAL|Harris|Atiba|D-M|155004|155004|2017
NYCFC|Harrison|Jack|M|130000|165500|2017
VAN|Harvey|Jordan|D|180000|180000|2017
TOR|Hasler|Nicolas|D|65004|80670.67|2017
DAL|Hayes|Jacori|M|65000.04|72500.04|2017
ATL|Heath|Harrison|M|66150|66150|2017
POOL|Heavner|Billy|GK|53004|53004|2017
DAL|Hedges|Matt|D|399996|424996|2017
PHI|Herbers|Fabian|M-F|110000|135500|2017
NE|Herivaux|Zachary|M|65625|65625|2017
RSL|Hernandez|Jose|M|53004|56379|2017
TOR|Hernandez|Jason|D|65004|65004|2017
NYCFC|Herrera|Yangel|M|123557.04|123557.04|2017
CLB|Higuain|Federico|M|1050000|1050000|2017
ORL|Higuita|Cristian|M|150000|286666.67|2017
ORL|Hines|Sebastian|D|129996|129996|2017
SJ|Hoesen|Danny|F|425004|503129|2017
HOU|Holland|Joseph|M|53004|53004|2017
NE|Hollinger-Janzen|Femi|F|54075|54075|2017
DAL|Hollingshead|Ryan|M-D|132500|132500|2017
CLB|Hollingsworth|Marshall|M|54075|54075|2017
RSL|Holness|Omar|F|110000|133500|2017
RSL|Horst|David|D|110004|115004|2017
COL|Howard|Tim|GK|2e+06|2475000|2017
DAL|Hume|Walker|D|53004|53004|2017
HOU|Hunter|Taylor|D|53004|53004|2017
VAN|Hurtado|Erik|F/M|125000|131250|2017
LA|Husidic|Baggio|M|175000|175000|2017
SJ|Hyka|Jahmir|M|470004|520004|2017
MNUFC|Ibarra|Miguel|M|290004|322326|2017
VAN|Ibini|Bernie|F|135000|174000|2017
MNUFC|Ibson||M|200004|210337.4|2017
VAN|Igiebor|Nosa|M|65000.04|98333.37|2017
PHI|Ilsinho||M|470000|518333.33|2017
SJ|Imperiale|Andres|D|105000|107500|2017
TOR|Irwin|Clint|GK|200004|211316.7|2017
KC|Iwasa|Cameron|F|65004|65004|2017
MTL|Jackson-Hamel|Anthony|F|66150|66150|2017
VAN|Jacobson|Andrew|M|150000|175000|2017
CLB|Jahn|Adam|F|92500|92500|2017
LA|Jamieson|Bradford|F|66150|66150|2017
DC|Jeffrey|Jared|M|105000|115000|2017
CLB|Jimenez|Hector|M|150000|150000|2017
NYCFC|Johansen|Eirik|GK|65625|65625|2017
CHI|Johnson|Daniel|M|65004|65004|2017
NYCFC|Johnson|Sean|GK|220008|220008|2017
ORL|Johnson|Will|M|414000|450000|2017
MNUFC|Jome|Ismaila|M|65004|67837.33|2017
ATL|Jones|Kenwyne|F|390000|413333.33|2017
LA|Jones|Jermaine|M|6e+05|722500.2|2017
PHI|Jones|Derrick|M|65000|70900|2017
PHI|Jones|Aaron|D|53004|53004|2017
SEA|Jones|Joevin|D|90000|96166.67|2017
SJ|Jungwirth|Florian|D-M|450000|516667.07|2017
CHI|Juninho||M|700008|716674.67|2017
ORL|Kaka||M|6660000|7167500|2017
MNUFC|Kallman|Brent|D|65004|68295.67|2017
CLB|Kamara|Ola|F|450000|482500|2017
NE|Kamara|Kei|F|8e+05|8e+05|2017
ATL|Kann|Alec|GK|77004|77004|2017
MNUFC|Kapp|Alex|GK|53004|53004|2017
CHI|Kappelhof|Johan|D|530000|570000|2017
NYRB|Keita|Muhamed|F|200012.04|256401.04|2017
DC|Kemp|Taylor|D|120000|120000|2017
LA|Kempin|Jonathan|GK|65004|65004|2017
CLB|Ketterer|Logan|GK|53004|53004|2017
DC|Klenofsky|Eric|GK|53004|56754|2017
NYRB|Kljestan|Sacha|M|650000|787500|2017
NE|Knighton|Brad|GK|100910.25|100910.25|2017
NE|Kobayashi|Daigo|M|69996|76996|2017
NE|Koffie|Gershon|M|120000|120000|2017
DC|Korb|Chris|D|65004|71004|2017
NE|Kouassi|Xavier|M|840000|890541.75|2017
SEA|Kovar|Aaron|M|66150|66350|2017
ATL|Kratz|Kevin|M|150000|164250|2017
MTL|Kronberg|Eric|GK|99999.96|104999.96|2017
VAN|Laba|Matias|M|725000|885500|2017
NYRB|Lade|Connor|D|85000|92812.5|2017
DAL|Lamah|Roland|M|630000|773500|2017
CHI|Lampson|Matt|GK|76000|81375|2017
ATL|Larentowicz|Jeff|M|175008|175008|2017
ORL|Larin|Cyle|F|150000|192000|2017
ORL|Laryea|Richmond|M|130000|159000|2017
LA|Lassiter|Ariel|F|54075|54075|2017
NYRB|Lawrence|Kemar|D|1e+05|205600|2017
SEA|Leerdam|Kelvin|D|380640|455640|2017
MTL|Lefevre|Wandrille|D|94999.92|104499.92|2017
MNUFC|Leiton|Jose|F-M|53004|68504|2017
RSL|Lennon|Brooks|F|53004|53004|2017
VAN|Levis|Brett|D|65000|67500|2017
NYCFC|Lewis|Jonathan|F|80000.04|115500.04|2017
NYRB|Lewis|Zeiko|M|75000|93750|2017
SJ|Lima|Nick|D|80004|86208.03|2017
LA|Lletget|Sebastian|M|230000|242666.67|2017
KC|Lobato|Cristian|M|180000|180000|2017
SEA|Lodeiro|Nicolas|M|1371428.57|1743428.57|2017
NYRB|Long|Aaron|D|65000|65000|2017
NYCFC|Lopez|Mikey|M|75000|75000|2017
NYRB|Louro|Evan|GK|53004|53004|2017
MTL|Lovitz|Daniel|M|78750|78750|2017
ATL|Loyd|Zach|D|85008|85008|2017
HOU|Lucatero|Christian|M|53000|53250|2017
POR|Mabiala|Larrys|D|431666.64|480916.64|2017
HOU|Machado|Adolfo|D|200004|216504|2017
COL|MacMath|Zac|GK|150000|150000|2017
HOU|Malki|George|D|65004|65004|2017
SEA|Mallace|Calum|M|115000|131250|2017
CLB|Maloney|Connor|D|53004|53004|2017
MTL|Mancosu|Matteo|F|700000.08|719541.75|2017
CLB|Manneh|Kekuta|M-F|138875|168375|2017
HOU|Manotas|Mauro|F|215746.08|215746.08|2017
VAN|Marinovic|Stefan|GK|65000.04|77562.54|2017
PHI|Marquez|Richard|D|133000|139430|2017
SEA|Marshall|Chad|D|350000|366250|2017
MNUFC|Martin|Collin|M|84996|84996|2017
ATL|Martinez|Josef|F|924000|1041310|2017
CLB|Martinez|Cristian|M|65633.4|70133.4|2017
HOU|Martinez|Tomas|M|315000|497925|2017
NYRB|Martins|Felipe|M|385000.08|385000.08|2017
NYCFC|Matarrita|Ronald|D|175000|2e+05|2017
SEA|Mathers|Zach|M|53004|53004|2017
POR|Mattocks|Darren|F|3e+05|316666.67|2017
VAN|Maund|Aaron|D|165000|174437.5|2017
TOR|Mavinga|Chris|D|265008|300691.6|2017
LA|McBean|Jack|F|65625|65625|2017
ATL|McCann|Chris|M|540000|568000|2017
PHI|McCarthy|John|GK|86500|95750|2017
CHI|McCarty|Dax|M|400000.08|412500.08|2017
PHI|McGuire|Jake|GK|53004|53004|2017
LA|McInerney|Jack|F|325000|325000|2017
POR|McIntosh|Kendall|GK|53000|53000|2017
VAN|McKendry|Ben|M|65000|65000|2017
MNUFC|McLain|Patrick|GK|80000|80000|2017
NYCFC|McNamara|Thomas|M|185000.04|185000.04|2017
NYRB|Meara|Ryan|GK|100008|105008|2017
ATL|Mears|Tyrone|D|183756|183756|2017
KC|Medranda|Jimmy|D|130008|130008|2017
PHI|Medunjanin|Haris|M|460008|505008|2017
CHI|Meira|Joao|D-M|150000|165000|2017
POR|Melano|Lucas|F|790000|1010000|2017
KC|Melia|Tim|GK|165000|167500|2017
NYCFC|Mena|Jefferson|D|250000|261400|2017
LA|Mendiola|Raul|F|65625|65625|2017
CLB|Mensah|Jonathan|D|750000|844000|2017
CLB|Meram|Justin|M|3e+05|328750|2017
SEA|Meredith|Bryan|GK|66150|66150|2017
NYRB|Metzger|Dan|M|53004|53004|2017
VAN|Mezquida|Nicolas|M-F|120000|120000|2017
SJ|Mfeka|Lindo|M-F|53004|53004|2017
CHI|Mihailovic|Djordje|M|80000.04|80000.04|2017
COL|Miller|Eric|D|75553.75|86553.75|2017
POR|Miller|Roy|D|150000|150000|2017
SEA|Miller|Tyler|GK|65633.4|65633.4|2017
DC|Miranda|Bruno|F|53000.04|57476.13|2017
NE|Mlinar Delamea|Antonio|D|400008|400008|2017
MNUFC|Molino|Kevin|M|350004|402504|2017
HOU|Monteiro de Lima|Alex|M|170000|170000|2017
VAN|Montero|Fredy|F|1400000.04|1800000.04|2017
TOR|Moor|Drew|D|246750|261750|2017
DAL|Morales|Javier|M|3e+05|315000|2017
NYCFC|Moralez|Maximiliano|M|2000000.04|2000000.04|2017
TOR|Morgan|Ashtone|D|100008|101508|2017
SEA|Morris|Jordan|F|225000|237500|2017
TOR|Morrow|Justin|D|210000|226666.67|2017
RSL|Movsisyan|Yura|F|1750000|1973750|2017
RSL|Mulholland|Luke|M|172500|172500|2017
DC|Mullins|Patrick|F|114125|144125|2017
NYRB|Murillo|Michael|D|65004|73754|2017
KC|Musa|James|D-M|65004|65004|2017
KC|Mustivar|Soni|M|2e+05|2e+05|2017
NYRB|Muyl|Alex|F|65625|69625|2017
POR|Myers|Chance|D|125004|125004|2017
POR|Nagbe|Darlington|M/F|550000|565000|2017
PHI|Najem|Adam|M|65000.04|65000.04|2017
NYRB|N'dam|Hassan|D|53004|53004|2017
SEA|Neagle|Lamar|M-F|2e+05|202833.33|2017
NE|Nemeth|Krisztian|F|547200|654866.67|2017
VAN|Nerwinski|Jake|D|65004|65004|2017
NE|Nguyen|Lee|M|5e+05|5e+05|2017
MNUFC|Nicholson|Sam|M|235008|281456|2017
CHI|Nikolic|Nemanja|F|1700000.04|1906333.37|2017
ORL|Nocerino|Antonio|M|8e+05|850000|2017
DC|Nyarko|Patrick|F-M|235000|250750|2017
CLB|Obinwa|Abuchi|M|65004|65004|2017
ATL|Oblitey Otoo|Jeffrey|M-F|53000|53000|2017
DC|Odoi-Atsem|Chris|D|65000.04|72500.04|2017
MTL|Oduro|Dominic|F|330000|330000|2017
NYCFC|Okoli|Sean|F|52999.92|52999.92|2017
POR|Okugo|Amobi|D-M|65004|187941.5|2017
KC|Oliveira|Kevin|M|65004|68337.33|2017
POR|Olum|Lawrence|M|142500|157500|2017
PHI|Onyewu|Oguchi|D|65004|65004|2017
KC|Opara|Ike|D|150000|150000|2017
DC|Opare|Kofi|D|105000|120000|2017
TOR|Osorio|Jonathan|M|191762.5|200237.13|2017
VAN|Ousted|David|GK|360000|378933.33|2017
LAFC|Pacheco|Rodrigo|F|99999.96|99999.96|2017
TOR|Pais|Mark|GK|65004|65004|2017
KC|Palmer-Brown|Erik|D|75000|75500|2017
VAN|Parker|Tim|D|80850|99600|2017
ATL|Parkhurst|Michael|D|325008|325008|2017
KC|Pasher|Tyler|D-M|53000|53000|2017
LA|Pedro|Joao|M|120000|141000|2017
SJ|Pelosi|Marc|M|65004|75004|2017
ORL|Pereira|Leonardo|D|53004|53004|2017
COL|Perez|Ricardo|M|53004|54254|2017
NYRB|Perrinelle|Damien|D|175008|175008|2017
ATL|Peterson|Jacob|M-F|165300|172550|2017
RSL|Phillips|Demar|D|155004|162837.33|2017
MTL|Piatti|Ignacio|M|450000|450000|2017
PHI|Picault|Fabrice|F|114999.96|128666.63|2017
MTL|Piette|Samuel|M|90000|99234.37|2017
NYCFC|Pirlo|Andrea|M|5600000|5915690|2017
RSL|Plata|Joao|F|450000|608333.33|2017
CHI|Polster|Matt|D-M|99900|114900|2017
DAL|Pomykal|Paxton|M|70000|75000|2017
PHI|Pontius|Chris|M-F|4e+05|431000|2017
KC|Porter|Cameron|F|65000|117500|2017
POR|Powell|Alvas|D|115000|123700|2017
ORL|Powers|Dillon|M|295000|325000|2017
SJ|Qazaishvili|Valeri "Vako"|M|1325004|1454042.36|2017
HOU|Quioto|Romell|F|200004|212504|2017
CLB|Raitala|Jukka|D|125004|161670.67|2017
MNUFC|Ramirez|Christian|M|350004|392504.4|2017
ORL|Ramos|Rafael|D|100800|100800|2017
NYCFC|Rawls|Andre|GK|65633.4|65633.4|2017
ORL|Redding|Tommy|D|110000|117500|2017
DAL|Reid|Adonijah|F|70000.08|84375.08|2017
HOU|Remick|Dylan|D|66150|66150|2017
VAN|Reyna|Yordy|M-F|440000.04|533700.04|2017
ATL|Reynish|Kyle|GK|65004|65004|2017
DAL|Reynolds|Bryan|F|53000|55000|2017
VAN|Richey|Spencer|GK|65004|65004|2017
TOR|Ricketts|Tosaint|F|180000|193166.67|2017
POR|Ridgewell|Liam|D|615000|615000|2017
RSL|Rimando|Nick|GK|450000|470000|2017
NYCFC|Ring|Alexander|M|340000.08|381666.75|2017
ORL|Rivas|Carlos|M|375000|375000|2017
ATL|Robinson|Miles|D|125000.04|195000.04|2017
DC|Robinson|Jalen|D|69996|69996|2017
NYRB|Robles|Luis|GK|430000.08|430000.08|2017
ORL|Rocha|Tony|M|65620.8|65620.8|2017
HOU|Rodriguez|Memo|M|53004|53004|2017
SEA|Rodriguez|Victor|M|999999.96|1087499.96|2017
LA|Rogers|Robbie|M|225000|233500|2017
SEA|Roldan|Cristian|M|115000|137000|2017
DC|Rolfe|Chris|F|275000|275000|2017
MTL|Romero|Andres|M|245000.04|405000.04|2017
LA|Romney|David|D|66150|66150|2017
VAN|Rosales|Mauro|M|65004|65004|2017
PHI|Rosenberry|Keegan|D|104500|110312.5|2017
LA|Rowe|Brian|GK|120000|120000|2017
NE|Rowe|Kelyn|M|165000|230000|2017
NYRB|Royer|Daniel|M|450000|471666.67|2017
KC|Rubio Kostner|Diego|F|202000|218875|2017
RSL|Rusnak|Albert|M|825000|882812.5|2017
KC|Saad|Soony|F|65004|65004|2017
COL|Saeid|Mohammed|M|160000|170000|2017
MTL|Salazar|Michael|F|54075|54075|2017
SJ|Salinas|Shea|M|185000|185000|2017
KC|Salloi|Daniel|F|53000|53000|2017
DC|Sam|Lloyd|M-F|240000|250000|2017
CHI|Sanchez|Richard|M|64999.92|64999.92|2017
HOU|Sanchez|Vicente|F|65004|65004|2017
KC|Sanchez|Ilie|M|3e+05|305000|2017
NYCFC|Sands|James|D-M|53000.04|73833.37|2017
CLB|Santos|Pedro|M|684000|731000|2017
PHI|Sapong|CJ|F|3e+05|3e+05|2017
CLB|Saravia|Rodrigo|M|65625|65625|2017
SJ|Sarkodie|Kofi|D|135000|140000|2017
DC|Sarvas|Marcelo|M|360000|425000|2017
RSL|Saucedo|Sebastian|M|90000|100500|2017
ORL|Saunders|Josh|GK|150000|150000|2017
CLB|Sauro|Gaston|D|585000|601312.5|2017
RSL|Savarino|Jefferson|F|352500|376187.65|2017
RSL|Schmidt|Justin|D|53004|53004|2017
RSL|Schuler|Chris|D|127500|132500|2017
MNUFC|Schuller|Rasmus|M|200004|225004|2017
CHI|Schweinsteiger|Bastian|M|5400000|5400000|2017
VAN|Seiler|Cole|D|54075|54075|2017
DAL|Seitz|Chris|GK|153000|153000|2017
HOU|Senderos|Philippe|D|225000|242500|2017
COL|Serna|Dillon|M|72600|85600|2017
VAN|Shea|Brek|M-D|625000|670000|2017
NYCFC|Shelton|Khiry|F|92950|110450|2017
SEA|Shipp|Harrison|M|144999.96|144999.96|2017
MTL|Shome|Shamit|M|100000.08|128500.08|2017
MNUFC|Shuttleworth|Bobby|GK|155000|171875|2017
RSL|Silva|Luis|M-F|200004|208670.67|2017
RSL|Silva|Marcelo|D|675000|711875|2017
SJ|Silva|Matheus|M|65000|65000|2017
PHI|Simpson|Jay|F|465000|508333.33|2017
KC|Sinovic|Seth|D|125000|132666.67|2017
COL|Sjoberg|Axel|D|108350|123350|2017
LA|Smith|Nathan|D|53004|55499.85|2017
NE|Smith|Donnie|M|66150|66150|2017
NE|Smith|Joshua|D|65000|65000|2017
CHI|Solignac|Luis|F|274999.92|328312.42|2017
RSL|Sparrow|Connor|GK|53004|53004|2017
ORL|Spector|Jonathan|D|549996|611933.5|2017
TOR|Spencer|Ben|F|65004|71554.28|2017
ORL|Stajduhar|Mason|GK|53000|53000|2017
CLB|Steffen|Zack|GK|105000|105000|2017
LA|Steres|Daniel|D|105000|112062.6|2017
NYCFC|Stertzer|John|M|65000|65000|2017
DC|Stieber|Zoltan|M|99999.96|99999.96|2017
KC|Storm|Colton|D|53004|53004|2017
NYCFC|Struna|Andraz|D|75600|75600|2017
CLB|Stuver|Brad|GK|80004|80004|2017
RSL|Sunday|Stephen|M|240000|253000|2017
ORL|Sutter|Scott|D|240000|240000|2017
SEA|Svensson|Gustav|M|170000.04|170000.04|2017
CLB|Swanson|Ben|M|85000|105416.67|2017
NYCFC|Sweat|Ben|D|65004|65004|2017
MTL|Tabla|Ballou Jean-Yves|M|70000|78999.8|2017
ATL|Tambakis|Alexander|GK|65004|65004|2017
SJ|Tarbell|Andrew|GK|80000|94000|2017
MNUFC|Taylor|Jermaine|D|125004|135004|2017
VAN|Tchani|Tony|M|275000|308333.33|2017
VAN|Techera|Cristian|M|352000|377000|2017
VAN|Teibert|Russell|M|126500|194000|2017
MNUFC|Thiesson|Jerome|D|171000|210166.67|2017
SJ|Thompson|Tommy|M|150000|155000|2017
NE|Tierney|Chris|D-M|140000|148333.33|2017
ORL|Toia|Donny|D|110004|110004|2017
SEA|Tolo|Nouhou|D|52999.92|52999.92|2017
HOU|Torres|Erick|F|650000|695000|2017
SEA|Torres|Roman|D|433000|508812.5|2017
CLB|Trapp|Wil|M|3e+05|350000|2017
PHI|Tribbett|Ken|D|65000|65000|2017
PHI|Trusty|Auston|D|75000|104100|2017
POR|Tuiloma|Bill|D-M|53004|64254|2017
NE|Turner|Matt|GK|54075|54075|2017
DAL|Ulloa|Victor|M|150000|152500|2017
SJ|Urena|Marco|F|275004|289420.67|2017
DAL|Urruti|Maximiliano|F|3e+05|560000|2017
POR|Valentin|Zarek|D|110000|110000|2017
POR|Valeri|Diego|M|2227500|2607500|2017
LA|Van Anholt|Pele|D|216000|216000|2017
RSL|Van Oekel|Matt|GK|96000|96000|2017
ATL|Vazquez|Brandon|F|100008|120008|2017
TOR|Vazquez|Victor|M|630000|7e+05|2017
RSL|Velazco|Ricardo|F|65633.4|65633.4|2017
MNUFC|Venegas|Johan|M|215000|227500|2017
MNUFC|Venegas|Kevin|D|85000|88333.33|2017
NYRB|Veron|Gonzalo|M-F|5e+05|5e+05|2017
NYCFC|Villa|David|F|5610000|5610000|2017
ATL|Villalba|Hector|F|663000|770750|2017
LA|Villarreal|Jose|F|105000|105000|2017
LA|Villarreal|Jaime|M|53004|53004|2017
CHI|Vincent|Brandon|D|96250|118125|2017
DC|Vincent|Rob|M-F|65633.4|65633.4|2017
ATL|Walkes|Anton|D|53004|53004|2017
NYCFC|Wallace|Rodney|M|220000.08|220000.08|2017
HOU|Ward|Charlie|M|53004|53004|2017
MNUFC|Warner|Collen|M|230004|230004|2017
VAN|Waston|Kendall|D|350000|368125|2017
NE|Watson|Je-Vaughn|D-M|150000|155666.67|2017
COL|Watts|Jared|D-M|75000|75000|2017
HOU|Wenger|Andrew|M|210000|210000|2017
ATL|Wheeler-Omiunu|Andrew|M|53004|53004|2017
NYCFC|White|Ethan|D|65000|65000|2017
PHI|Wijnaldum|Giliano|D|65004|78337.33|2017
ATL|Williams|Romario|F|65000|65000|2017
CLB|Williams|Josh|D|110004|110004|2017
COL|Williams|Mekeil|D|110000|115000|2017
VAN|Williams|Sheanon|D|175000|184000|2017
HOU|Willis|Joe|GK|106312.5|106312.5|2017
RSL|Wingert|Chris|D|134004|145394|2017
SEA|Wingo|Henry|D-M|53004|53004|2017
SJ|Wondolowski|Chris|F|8e+05|8e+05|2017
NE|Woodberry|London|D|69300|69300|2017
DC|Worra|Travis|GK|65625|65625|2017
NE|Wright|Brian|F|65000.04|83750.04|2017
NYRB|Wright-Phillips|Bradley|F|1500000|1635000|2017
SJ|Wynne|Marvell|D|245808|257058|2017
PHI|Yaro|Joshua|D|130000|194000|2017
ORL|Yotun|Yoshimar|M|549996|599996|2017
SJ|Yueill|Jackson|M|124992|175992|2017
LA|Zardes|Gyasi|F|577500|577500|2017
TOR|Zavaleta|Eriq|D|102850|133450|2017
POR|Zemanski|Ben|M|105000|109000|2017
KC|Zendejas|Adrian|GK|53000|53000|2017
DAL|Zimmerman|Walker|D|205000|205000|2017
NYRB|Zizzo|Sal|D|110000|110000|2017
KC|Zusi|Graham|M|725000|757102.27|2017
NYRB|Abang|Anatole|F|62500|62500|2016
KC|Abdul-Salaam|Saad|D|63000|76750|2016
CHI|Accam|David|F-M|7e+05|770937.5|2016
DAL|Acosta|Kellyn|M|220000|240000|2016
DC|Acosta|Luciano|M-F|327272.76|429272.76|2016
RSL|Acosta|Danilo|M|62500|62500|2016
NYRB|Adams|Tyler|M|65000|81041.67|2016
VAN|Adekugbe|Samuel|D|70000|75000|2016
POR|Adi|Fanendo|F|640000|712500|2016
CLB|Afful|Harrison|D|275000|291666.67|2016
NE|Agudelo|Juan|F|425000|452500|2016
DC|Aguilar|Miguel|M|63000|63000|2016
VAN|Aird|Fraser|D-M|51500|58625|2016
ORL|Aja|Jose|D|192000|192000|2016
DAL|Akindele|Tesho|F-M|80000|97500|2016
SJ|Alashe|Fatai|M|74250|90500|2016
PHI|Alberg|Roland|M|328000|377250|2016
HOU|Alexander|Eric|M|165000|178750|2016
SEA|Alfaro|Tony|D|51500|51500|2016
NYCFC|Allen|RJ|D|63000|63000|2016
NYRB|Allen|Brandon|F|62500|62500|2016
RSL|Allen|Jordan|M|1e+05|110000|2016
SEA|Alonso|Osvaldo|M|9e+05|941667|2016
ORL|Alston|Kevin|D|130000|130000|2016
TOR|Altidore|Jozy|F|4825000|4825000|2016
KC|Alvarado|Ever|D|51500.04|75166.71|2016
CHI|Alvarez|Arturo|M|115000|118264|2016
DAL|Alves Dos Santos|Getterson|F|144000|174500|2016
SJ|Amarikwa|Quincy|F|247000|260666.67|2016
ORL|Ambrose|Mikey|D|62496|62496|2016
SEA|Anderson|Oalex|F|51504|51504|2016
POR|Andriuskevicius|Vytautas|D|184992|204992|2016
HOU|Anibaba|Jalil|D|62500|62500|2016
KC|Anor|Bernardo|M|132624|132624|2016
KC|Appiah|Emmanuel|M|51499.92|51499.92|2016
HOU|Arboleda|Yair|M|62499.96|62499.96|2016
DC|Arnaud|Davy|M|212500|212500|2016
POR|Arokoyo|Gbenga|D|90000|110600|2016
CHI|Arshakyan|David|F|120000|142850|2016
CLB|Ashe|Corey|D|95000|105500|2016
POR|Asprilla|Dairon|M-F|76000|126000|2016
RSL|Attinella|Jeff|GK|90000|95083.33|2016
PHI|Ayuk|Eric|M|62500|62500|2016
COL|Azira|Michael|M|63000|65826.88|2016
NYRB|Baah|Gideon|D|230000|315500|2016
TOR|Babouli|Mo|F|51500|51500|2016
COL|Badji|Dominique|F|53472|53472|2016
RSL|Baez Benitez|Pedro|F|62499.96|94324.96|2016
NYCFC|Ballouchy|Mehdi|M|71662.5|86662.5|2016
ORL|Baptista|Julio|M-F|90000|90000|2016
POR|Barmby|Jack|M-F|72000|73800|2016
NE|Barnes|Darrius|D|110000|116666.67|2016
VAN|Barnes|Giles|F-M|7e+05|756250|2016
PHI|Barnetta|Tranquillo|M|650000|709100|2016
SJ|Barrera|Leandro|F|75000|75000|2016
SJ|Barrett|Chad|F|90000|95500|2016
DAL|Barrios|Michael|M|70000|70000|2016
ORL|Barry|Hadji|F|62500|67062.5|2016
CLB|Barson|Chad|D|63000|63000|2016
HOU|Beasley|DaMarcus|D|750000|813333.33|2016
RSL|Beckerman|Kyle|M|675000|750000|2016
PHI|Bedoya|Alejandro|M|1100004|1166254|2016
TOR|Beitashour|Steven|D|230000|244000|2016
MTL|Bekker|Kyle|M|67941.5|94191.5|2016
RSL|Beltran|Anthony|D|210000|220950|2016
ORL|Bendik|Joe|GK|140000|147666.67|2016
MTL|Bernardello|Hernan|M|216000|216000|2016
SJ|Bernardez|Victor|D|210000|251600|2016
COL|Berner|John|GK|63000|63000|2016
MTL|Bernier|Patrice|M|95000|140000|2016
KC|Besler|Matt|D|7e+05|733250|2016
POR|Besler|Nick|M|62500|62500|2016
NYRB|Bilyeu|Justin|D|51500|51500|2016
SJ|Bingham|David|GK|145000|152750|2016
DC|Birnbaum|Steven|D|86350|116350|2016
MTL|Bitolo|Ambroise|D|1e+05|1e+05|2016
PHI|Blake|Andre|GK|1e+05|138000|2016
TOR|Bloom|Mark|D|94500|101848.89|2016
LA|Boateng|Emmanuel|F|1e+05|1e+05|2016
ORL|Boden|Luke|D|82500|82500|2016
VAN|Bolanos|Christian|M|250000|253500|2016
DAL|Bonner|Colin|F|51504|51504|2016
TOR|Bono|Alex|GK|65000|85200|2016
POR|Borchers|Nat|D|245000|255000|2016
DC|Boswell|Bobby|D|260000|260000|2016
TOR|Bradley|Michael|M|6e+06|6500000|2016
NYCFC|Brandt|Connor|M-D|53472|53472|2016
NYCFC|Bravo|Federico|M|110000|110000|2016
POR|Brett|Neco|M|51504|51504|2016
NYCFC|Brilliant|Frederic|D|260000|299666.67|2016
HOU|Brown|Calle|GK|51500|51500|2016
HOU|Brown|Keyner|D|108000|108000|2016
HOU|Bruin|Will|F|310000|311666.67|2016
DC|Buescher|Julian|M|70000|84700|2016
NE|Bunbury|Teal|F|205000|250000|2016
COL|Burch|Marc|D|120000|120000|2016
ATL|Burgos|Efrain|M|62508|62508|2016
COL|Burling|Bobby|D|110000|116000|2016
MTL|Bush|Evan|GK|117500|117500|2016
VAN|Bustos|Marco|M|62500|67350|2016
MTL|Cabrera|Victor|D|250000|250000|2016
NE|Caldwell|Scott|M|1e+05|110000|2016
CHI|Calistri|Joey|M|51500|51500|2016
COL|Calvert|Caleb|F|75000|82500|2016
MTL|Camara|Hassoun|D|180000|180000|2016
CHI|Campbell|Jonathan|D|70000|78125|2016
NE|Cande|Mamadu|D|75000|82287.5|2016
VAN|Carducci|Marco|GK|63000|63000|2016
ORL|Carrasco|Servando|M|95000|99625|2016
PHI|Carroll|Brian|M|120000|128000|2016
CLB|Casey|Conor|F|105000|105000|2016
COL|Castillo|Dennis|D|51500.04|51500.04|2016
DAL|Castillo|Fabian|M-F|155750|170750|2016
SJ|Cato|Cordell|M|112500|114166.67|2016
SJ|Ceren|Darwin|M|150000|199375|2016
NYCFC|Chanot|Maxime|D|350004|383004|2016
TOR|Chapman|Jay|M|75000|93500|2016
POR|Chara|Diego|M|150000|172000|2016
TOR|Cheyrou|Benoit|M|150000|159333.33|2016
MTL|Choiniere|David|M|51500|51500|2016
